valid_time,wind,fm1000,fm100,gridmet_burning_index,gridmet_fm1000,gridmet_fm100,condition_1,condition_1_extreme,condition_2,spatial_ref,fire_name,saw_day,esaw_day,month,year,fire_year
2006-10-08,0.9077099,6.511735634897812,11.289689621723184,57.02399865599996,6.510799915200032,8.155999920000035,False,False,1.0,0,Eaton,False,False,10,2006,2006
2006-10-09,1.0588568,6.907836377111138,11.77405137408153,58.68799955199983,6.510799915200032,7.64719988480004,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-10,1.5954608,7.260141801461087,12.244357395858412,63.60799875199987,6.566799915200026,7.707199924800033,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-11,1.3533379,7.563504545068598,12.209292879307284,52.7639998559998,6.710799915200031,8.24719988480004,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-12,1.1954224,7.737241839749791,11.233589960385746,60.031999647999946,6.810799915200031,8.263199924800027,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-13,1.5861522,8.953575248659984,14.84138855526038,0.0,7.255999920000034,9.96119996480003,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-14,1.306948,10.51857868456457,17.82891225281835,0.0,7.6767999552000195,11.569199924800024,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-15,1.3580693,11.389959946344552,18.610531281256733,44.36400025599973,7.867999920000024,11.103199884800034,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-16,1.3609427,11.395615448579214,17.512180084935807,53.88799835200004,7.96199992000003,10.204399889600031,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-17,1.5138799,12.570773990678628,19.07205261106604,50.003999055999984,8.155999920000035,10.238399849600045,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-18,2.4825447,12.757194353084431,16.710279832770432,68.42799755199997,8.111999920000029,9.307999880000033,True,False,1.0,0,Eaton,True,False,10,2006,2006
2006-10-19,1.9280815,12.611577979317945,12.398289629581928,59.07599910399992,8.053199884800035,7.854399889600032,False,False,1.0,0,Eaton,False,False,10,2006,2006
2006-10-20,1.5788344,12.057269489387096,9.37860534455542,57.57599910399992,7.713199924800028,6.569199924800023,False,False,1.0,0,Eaton,False,False,10,2006,2006
2006-10-21,1.3836288,11.4589003475519,7.503133955371409,56.827998352000094,7.475599950400022,5.983999960000013,False,False,1.0,0,Eaton,False,False,10,2006,2006
2006-10-22,1.9121013,11.081616315699623,5.815927132035471,53.01599910399997,7.376799955200019,5.577999960000017,True,False,1.0,0,Eaton,True,False,10,2006,2006
2006-10-23,1.876159,10.528577009509512,4.7450074706933965,62.787999951999765,7.270799955200024,5.184800035200016,True,False,1.0,0,Eaton,True,False,10,2006,2006
2006-10-24,1.1629674,10.003206033014727,4.488196478306636,67.69999959999981,7.175599950400021,5.4039999600000375,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-25,1.0360084,9.971012225707575,5.566735523207651,56.30799755200008,7.17679995520002,6.162799995200032,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-26,2.632568,9.885977922684722,4.8861905119968,79.89599670399997,7.110799915200031,5.547999960000043,True,True,1.0,0,Eaton,True,True,10,2006,2006
2006-10-27,2.7735486,9.3806205618438,3.3652328149025834,72.46799795199995,6.870799955200024,4.851199924800038,True,True,1.0,0,Eaton,True,True,10,2006,2006
2006-10-28,2.0695336,8.82938200186128,2.4050417460472517,64.67999999999985,6.657199924800032,4.421999960000022,True,False,1.0,0,Eaton,True,False,10,2006,2006
2006-10-29,1.1355214,8.615017772287828,2.6664469642556945,68.48799875199997,6.565999960000028,4.284800035200016,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-30,1.1865625,8.642275856027336,5.546323964537525,58.147999151999855,6.520799955200024,4.649199964800041,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-10-31,1.2612882,8.799421776966025,8.790623498465713,53.64799915199985,6.514799955200029,5.23799992000005,False,False,0.0,0,Eaton,False,False,10,2006,2006
2006-11-01,0.8215474,8.913265860743714,9.491781073365946,55.9399988,6.415999960000027,5.496399905600045,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-02,0.89097786,8.936841370499533,8.166709518337374,55.63999959999987,6.4647999552000295,5.796399905600046,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-03,1.0044675,8.840185480109188,7.436954842834927,55.383999296000056,6.56479995520003,6.663199900800032,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-04,1.7316501,8.729707326487713,7.147751794067007,58.46799795199995,6.605999920000034,7.0839999360000165,False,False,1.0,0,Eaton,False,False,11,2006,2006
2006-11-05,2.2449338,8.595029958572516,6.012592005614206,67.25999959999976,6.605999920000034,6.626399905600019,True,False,1.0,0,Eaton,True,False,11,2006,2006
2006-11-06,2.237208,8.201366303402626,4.865678395442444,75.10799875199987,6.510799915200032,5.6971999408000045,True,False,1.0,0,Eaton,True,False,11,2006,2006
2006-11-07,1.9630227,7.69911450481254,3.923777032790624,62.60000039999993,6.366799915200026,5.154399945599997,True,False,1.0,0,Eaton,True,False,11,2006,2006
2006-11-08,1.5433295,7.445549135542265,3.7667802273235504,63.39599910400007,6.2755999504000215,5.045599910400003,False,False,0.5,0,Eaton,False,False,11,2006,2006
2006-11-09,1.2497973,7.533977737791836,4.7675949539500335,57.37999880000005,6.380399945600018,6.1031999408,False,False,0.5,0,Eaton,False,False,11,2006,2006
2006-11-10,2.0294538,7.361965713033081,4.354445525729188,67.69999959999981,6.266799915200027,5.732399905600015,False,False,1.0,0,Eaton,False,False,11,2006,2006
2006-11-11,1.3734698,7.2374103751314145,4.448057361568257,68.23999800000014,6.166799915200027,5.547199940800004,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-12,2.1601026,7.236498206386438,4.830605969151655,69.95999839999996,6.266799915200027,6.237199900800011,False,False,1.0,0,Eaton,False,False,11,2006,2006
2006-11-13,1.6711795,6.903327049949532,3.622638717344646,68.99199804799991,6.265599910400028,5.681199900800017,False,False,1.0,0,Eaton,False,False,11,2006,2006
2006-11-14,0.97676706,6.648155016226437,3.7426335934341513,64.01199684800028,6.371599910400024,6.741999896000008,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-15,1.7870432,6.520374781261193,3.988380408390565,60.483999695999984,6.386399945600013,6.800799931200004,False,False,1.0,0,Eaton,False,False,11,2006,2006
2006-11-16,1.5047886,6.357540375641452,3.3053243741469203,57.30399849600009,6.271599910400022,5.845999936000006,False,False,1.0,0,Eaton,False,False,11,2006,2006
2006-11-17,1.3689941,6.259924191128039,3.509366823109577,61.70399809600016,6.186399945600013,5.6971999408000045,False,False,0.5,0,Eaton,False,False,11,2006,2006
2006-11-18,1.5351464,6.121553346986297,3.739625372572749,48.97999919999998,6.277599910400018,6.559199940799994,False,False,1.0,0,Eaton,False,False,11,2006,2006
2006-11-19,2.1682012,5.969099267840514,3.252519651331029,56.0,6.236399945600013,6.153199940799999,True,False,1.0,0,Eaton,True,False,11,2006,2006
2006-11-20,1.9694126,5.765296394122801,2.7381075589486707,64.53199964799995,6.177599910400018,5.307199980799997,True,False,1.0,0,Eaton,True,False,11,2006,2006
2006-11-21,1.3087914,5.532883496849021,2.737417997919266,75.411998448,6.07639990560002,5.035199940800014,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-22,0.9791047,5.43821169729614,3.256525394392694,56.587999151999895,6.17639990560002,6.179999896000018,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-23,0.8674673,5.447233554672172,3.68220856499583,47.62799955199988,6.286399945600013,6.9335998864000175,False,False,0.5,0,Eaton,False,False,11,2006,2006
2006-11-24,1.328925,5.4168415362068,4.035719271398278,54.63200004799988,6.32639990560002,7.044799931200009,False,False,1.0,0,Eaton,False,False,11,2006,2006
2006-11-25,1.1496035,5.910593313620707,7.194009403907884,54.83199884800008,6.32639990560002,7.16399985600003,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-26,1.2067486,6.818514316814035,10.148668701939506,57.00399929599995,6.42639990560002,7.463999856000031,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-27,1.7373629,7.717468167127429,12.615491805788496,0.0,7.549999800000036,11.273599494400084,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-28,1.3255377,8.953382358606104,15.278146949223167,26.155999903999884,7.848399745600037,11.554799451200068,False,False,0.0,0,Eaton,False,False,11,2006,2006
2006-11-29,2.9485908,8.866971247145955,11.689734765437256,74.99999879999996,7.903599790400033,10.433999616000047,True,False,1.0,0,Eaton,True,False,11,2006,2006
2006-11-30,3.0014615,8.70329923576029,8.230297197782363,69.69999959999981,7.803599790400034,8.66999973600002,True,True,1.0,0,Eaton,True,True,11,2006,2006
2006-12-01,2.602726,8.479082330400164,5.685598275722622,59.072000047999936,7.6583997856000305,6.878799771200016,True,True,1.0,0,Eaton,True,True,12,2006,2006
2006-12-02,2.9878206,8.104554861477475,4.313633300195903,88.27599814400008,7.465599790400024,5.885199820800009,True,True,1.0,0,Eaton,True,True,12,2006,2006
2006-12-03,3.9098494,7.657566970768884,3.193474357803734,94.16399969599982,7.35839978560003,4.919999935999986,True,True,1.0,0,Eaton,True,True,12,2006,2006
2006-12-04,3.611126,7.204037999177698,2.4352012399850684,77.13600054399987,6.919599830400021,4.317599950399986,True,True,1.0,0,Eaton,True,True,12,2006,2006
2006-12-05,2.3981075,6.554156640209674,1.7409444757192234,62.01200004799998,6.668399825600023,3.716799995199987,True,True,1.0,0,Eaton,True,True,12,2006,2006
2006-12-06,1.9845419,6.326711644768105,1.218419674091175,60.73199844800016,6.428399865600016,3.160799995199992,True,False,1.0,0,Eaton,True,False,12,2006,2006
2006-12-07,2.2866216,6.198989183129552,0.9610098220942844,63.73199844800016,6.319599830400022,3.210799995199992,True,False,1.0,0,Eaton,True,False,12,2006,2006
2006-12-08,2.3937569,6.087038726304324,1.0235642604465331,73.39999840000002,6.18559987040001,3.2224000655999867,True,False,1.0,0,Eaton,True,False,12,2006,2006
2006-12-09,1.4793873,5.925209487155186,1.8271247773084556,0.0,6.480799875200013,5.461600150399955,False,False,0.0,0,Eaton,False,False,12,2006,2006
2006-12-10,1.9915247,7.355368590622271,8.487629228284954,0.0,7.995599910400003,10.86560007039995,False,False,0.0,0,Eaton,False,False,12,2006,2006
2006-12-11,1.05916,7.424645329548143,8.821194719506178,45.67199844800021,8.036799875200007,10.633600070399934,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-12,1.6498469,7.225218059135908,7.919422328552695,51.40799915200006,8.060399945599993,9.614000039999947,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-13,2.0806153,7.404198753184245,7.871081331014743,50.10799995199992,8.16159995039999,9.078800075199936,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-14,1.8883677,7.560280956069777,7.2755425938859055,51.15199884800024,8.239199884800003,8.27760007039994,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-15,1.0660739,7.675337278243925,6.73253592930833,57.05999800000029,8.266399945599986,7.465600070399949,False,False,0.5,0,Eaton,False,False,12,2006,2006
2006-12-16,1.8128037,9.161839489546344,11.712587874024129,0.0,9.024799955199978,10.282000039999932,False,False,0.0,0,Eaton,False,False,12,2006,2006
2006-12-17,1.323637,10.049974415382888,14.956849575633594,0.0,8.93439994559997,11.043599990399922,False,False,0.0,0,Eaton,False,False,12,2006,2006
2006-12-18,2.4135401,9.928460195435363,12.027931143205922,58.2079983520002,8.879599950399975,10.084400025599932,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-19,1.793978,9.6984244027224,9.45313270648759,54.73999920000018,8.879599950399975,8.863599990399948,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-20,1.3889238,9.64854271427589,7.66816867715138,45.46399985600006,8.865999919999982,7.957599990399952,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-21,1.3137429,9.665203333581356,6.477541509296007,47.74799875200017,8.874799955199979,7.38839998559997,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-22,1.4999111,9.945852293558772,6.870262944063112,41.98799795200036,9.074799955199978,7.899600030399961,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-23,2.748828,9.367263214719776,5.754076022562165,70.00399729600029,8.724799955199979,7.239599990399968,True,False,1.0,0,Eaton,True,False,12,2006,2006
2006-12-24,2.332903,8.37792596697022,4.408063244819625,52.61199844800026,8.189599990399968,6.190799995199966,True,False,1.0,0,Eaton,True,False,12,2006,2006
2006-12-25,2.1384523,8.111280662679423,3.494835224930096,52.79199964800016,8.02359995039998,5.5496000303999615,True,False,1.0,0,Eaton,True,False,12,2006,2006
2006-12-26,1.0772939,7.843750263702797,2.834896290807415,61.76799835200013,7.83839998559997,4.831600030399976,False,False,0.5,0,Eaton,False,False,12,2006,2006
2006-12-27,1.5236449,9.256968300266823,8.0303917656848,0.0,8.399600030399963,7.766000119999949,False,False,0.0,0,Eaton,False,False,12,2006,2006
2006-12-28,3.117035,9.454236335294134,7.573588348092225,81.86799675200042,8.49960003039996,7.968000079999946,True,False,1.0,0,Eaton,True,False,12,2006,2006
2006-12-29,2.6415281,9.335207073909576,6.125111233396903,78.77599590400047,8.490799995199966,7.291999999999964,True,False,1.0,0,Eaton,True,False,12,2006,2006
2006-12-30,1.7986369,8.886573884421585,4.901659262547216,57.55199844800031,8.234799995199971,6.500800035199958,False,False,1.0,0,Eaton,False,False,12,2006,2006
2006-12-31,0.9447487,8.31323940456463,4.634570721257857,49.80799875200013,7.994800035199965,6.600800035199959,False,False,0.0,0,Eaton,False,False,12,2006,2006
2007-01-01,2.292069,8.290557363548999,4.817510475941641,76.59999520000058,8.044800035199966,7.457200084799954,False,False,1.0,0,Eaton,False,False,1,2007,2006
2007-01-02,2.8034353,8.151427725444538,4.073692997340884,80.82799635200044,8.081200004799973,6.901200084799958,True,False,1.0,0,Eaton,True,False,1,2007,2006
